Customer_ID,Customer_Credit_ID,Customer_Name,Contact_Name,Contact_Position,Last_Years_Sales,Address1,Address2,Address3,Postal_Code,Lat,Long,Email,Phone,Fax
1,1,City Cyclists,Mr. Chris Christianson,(Sales Manager),20045.2725,7464 South Kingsway,Suite 2006,Arras:Nord Pas-de-Calais:France,48358,50.292,2.78,Christianson@bba.com,810-939-6479,810-939-6602
2,2,Pathfinders,Miss Christine Manley,(Sales Representative),26369.63,410 Eighth Avenue,,Bristol:Avon:England,60148,51.453611,-2.5975,Manley@arubasport.com,815-756-9831,815-756-7536
3,3,Bike-A-Holics Anonymous,Mr. Gary Jannis,(Sales Associate),4500,7429 Arbutus Boulevard,Suite 2017,Singapore:Singapore:Singapore,43005,1.283333,103.833333,Jannis@downunderbikes.com,614-759-9924,614-759-6343
4,4,Psycho-Cycle,Mr. Alexander Mast,(Sales Representative),52809.105,8287 Scott Road,,Panama:Panama:Panama,35818,9,-80,Mast@canbikes.com,205-430-0587,205-430-7737
5,5,Sporting Wheels Inc.,Mr. Patrick Reyess,(Sales Associate),85642.56,480 Grant Way,Suite 1110,Ciudad de Mexico:Distrito Federal:Mexico,92150,19.433333,-99.133333,Reyess@kangerootrikes.com,619-457-3186,619-457-9017
6,6,Rockshocks for Jocks,Ms. Heather Davis,(Sales Representative),40778.5225,1984 Sydney Street,,Yokohama:Kanagawa Ken:Japan,78770,35.444167,139.638056,Davis@brucebikes.com,512-349-7705,512-349-4983
7,7,Poser Cycles,Mr. Alex Smith,(Sales Agent),10923,8194 Peter Avenue,,Beaconsfield:PQ:Canada,55360,45.4333333,-73.866667,Smith@peddlesofperth.com,612-947-4320,612-947-9422
8,8,Spokes 'N Wheels Ltd.,Miss Kristina Chester,(Sales Representative),25521.305,3802 Georgia Court,,Hanoi:Hanoi:Vietnam,50305,21,105.85,Chester@koalaroad.com,515-237-7769,515-237-9671
9,9,Trail Blazer's Place,Mrs. Alexandra Burris,(Owner),123658.46,6938 Beach Street,,New Plymouth:Taranaki:New Zealand,53795,-39.057778,174.074167,Burris@devilbikes.com,608-273-4883,608-273-0423
10,10,Rowdy Rims Company,Dr. Anthony Shoemaker,(Sales Agent),30131.455,4861 Second Road,,Kuala Lumpur:Kuala Lumpur:Malaysia,91341,3.147778,101.695278,Shoemaker@piccolobike.com,805-375-0117,805-375-3533
11,11,Clean Air Transportation Co.,Mr. Bill Carter,(Sales Associate),23789.245,1867 Thurlow Lane,Suite 1304,Essen:Nordrhein-Westfalen:Germany,19453,51.450833,7.013056,Carter@BCS.com,610-941-5771,610-941-0216
12,12,Hooked on Helmets,Mr. Gerry Wade,(Owner),52963.8225,7655 Mayberry Crescent,Suite 209,Halifax:NS:Canada,55327,44.6475,-63.590556,Wade@dhakabike.com,612-947-3344,612-947-6477
13,13,C-Gate Cycle Shoppe,Mr. Matthew Banks,(Owner),29618.11,413 Robson Lane,Suite 1809,Cancun:Quintana Roo:Mexico,22618,21.160556,-86.8475,Banks@barbadossports.com,540-662-7167,540-662-2730
